digit_1_image,digit_2_image,label
441,4609,True
3705,2330,False
9062,1446,False
489,455,False
3634,3867,False
9330,3319,False
3556,7246,True
93,2567,True
5465,4459,False
3577,5636,False
1547,6342,False
5995,5755,False
683,7411,False
6319,1324,True
9984,5804,True
1178,774,False
4857,1341,True
1682,6343,True
7311,5860,False
6185,5938,True
4468,1203,False
8872,4082,False
7702,6334,True
8998,3538,False
893,3702,False
5284,6695,False
1058,3404,False
3426,8058,False
7399,2301,True
2259,3977,False
9438,6901,False
5808,3532,False
8470,8200,True
796,1841,False
2677,7038,False
6425,6362,False
8543,4049,True
1921,8921,False
5461,1789,True
7000,2551,True
45,4232,False
8438,1775,False
8201,9828,False
2537,6252,True
8961,8812,False
9962,5427,True
288,1793,True
4919,3866,False
4017,9433,True
1431,8083,True
8849,2107,True
7909,9131,False
4442,8770,True
3418,8710,False
5226,6649,False
7059,8366,False
1935,3997,False
1077,5664,False
9791,9203,True
9792,3665,True
1199,993,False
1149,544,False
1122,8304,False
4667,8073,False
8960,2197,False
3922,7626,False
3040,1513,False
7175,5927,True
6622,7531,True
1636,1018,True
5447,1760,False
3218,3198,True
2268,6793,True
4667,7705,False
1267,7376,False
861,8985,True
1557,3934,True
6777,8077,False
3451,6452,False
2758,6327,False
6514,4445,False
4577,6813,False
2510,3028,True
3501,934,False
5257,968,True
9720,7930,False
959,8441,True
3134,1161,True
3911,6737,True
9470,4114,False
1377,6993,False
4191,3283,True
3857,4262,False
2095,4795,True
5064,1143,False
7631,9358,False
1234,8934,False
8405,4445,False
5834,1163,False
6178,4789,False
7295,9033,False
9869,8541,False
9211,5024,False
2218,4432,False
1790,9193,True
4558,4731,True
5736,3389,True
8162,7881,False
809,1490,True
4433,694,False
5581,2176,False
2589,7124,False
9061,142,True
1266,2470,True
6169,9694,True
7156,2127,False
5163,6094,False
5979,3509,True
1711,5920,True
2505,3826,False
2977,6867,True
3021,5557,False
4000,4280,False
1813,6384,False
7834,3696,False
7669,5844,True
3670,3595,True
3239,6641,True
4471,1102,False
5632,8230,True
8663,5313,False
1936,4385,False
9666,4447,False
1817,9928,True
5550,5020,True
9784,8265,False
6428,9595,True
4260,748,True
23,8403,True
6086,7179,True
5519,5260,True
5037,8425,False
6572,5225,True
4730,8957,False
3222,7011,True
2792,9931,False
6535,8854,False
5096,4819,False
7158,9648,False
7498,7124,True
3449,8261,False
2720,1355,False
8328,9996,False
1501,3795,False
3630,3175,False
435,781,False
7907,1227,True
6673,9294,True
6406,8216,True
3936,2366,False
1778,7083,False
2949,8610,False
797,9005,False
2042,7601,False
7735,8826,False
7136,9883,False
8854,7191,False
7898,7492,True
3990,4443,True
3861,4397,False
1235,4583,False
4545,5619,False
8720,1289,True
2498,3839,False
2474,3452,False
6921,6797,True
8766,7513,True
992,3328,False
6254,9431,True
9574,6347,False
86,5639,True
6263,6741,False
8116,3653,False
7021,7832,False
6480,5626,False
2646,7538,False
8872,467,False
9558,9119,True
1407,7137,True
7693,3052,False
4373,6328,False
3414,7326,False
5412,6091,True
6789,4059,True
7824,346,False
5847,3722,True
688,541,False
3327,366,True
3964,2112,False
1834,9114,True
7741,4289,False
2690,9774,False
2744,5213,False
9627,452,False
9295,6034,True
3161,1208,False
1694,5057,False
9410,704,False
8606,6901,False
1096,8170,False
189,6758,False
1704,6981,True
7418,2477,True
2825,8429,True
9941,8696,False
7496,7018,False
5168,3966,True
4672,7505,False
7735,9473,False
5389,437,False
5210,2916,False
3420,5689,False
5466,4491,False
8980,150,True
1431,4023,False
7881,8974,True
7922,8157,True
254,1497,False
3580,6507,True
5129,9681,False
7630,8946,False
6858,8893,True
5640,7318,True
4904,4049,True
2022,3232,False
1911,8658,False
3218,3602,False
4430,9520,False
1627,3101,False
3669,5794,False
5068,258,False
4598,765,False
9195,4905,False
8161,1706,True
9541,4779,True
7717,7098,True
2951,813,True
7698,1830,False
6687,8176,False
