digit_1_image,digit_2_image,label
7432,41128,True
18466,47707,False
9266,14353,False
49403,43506,False
28294,37908,True
6243,1908,False
33871,14948,False
36024,13281,False
14181,30067,True
57950,52127,True
53737,48873,False
44884,28336,False
10335,17771,False
22585,49184,False
25461,5987,True
23005,56502,True
17774,38775,True
30748,46900,True
25366,59419,True
35406,19686,False
12848,37055,False
44199,2961,True
19444,49784,True
15600,55120,True
24366,18644,True
40880,55590,True
10506,24823,True
13478,44788,False
45702,45093,False
42409,39132,False
48646,34248,True
10547,30925,False
42764,17286,True
21772,44015,True
54802,14734,False
51854,21189,True
4392,17143,True
58830,37964,True
13670,43795,True
25370,58997,False
17805,9240,False
15824,49707,False
48064,39098,True
57855,39032,True
14653,23219,False
33065,32676,True
3115,48671,False
41899,9875,False
50999,45486,False
38303,4210,True
24464,39823,False
16875,33936,False
48128,43753,True
43836,59000,True
49506,42822,False
7189,19709,False
30363,10211,True
46373,58396,False
50835,32114,False
32555,7095,False
42693,54223,False
25073,9875,False
51931,34603,True
38487,21764,True
1233,7465,False
56622,55421,False
3833,15357,True
37973,56580,True
5546,48820,False
4597,52553,True
8264,44091,True
35272,10980,True
33837,58158,True
36113,13628,False
45807,20936,False
43196,43430,False
28064,59974,False
16627,7795,True
22670,4154,False
37091,37772,True
14712,37782,True
47293,4592,True
4469,14724,False
22175,55419,False
32964,15943,True
32521,43024,True
34597,8832,True
15578,52343,True
27299,52014,False
6083,6469,True
22708,28401,True
57596,29977,False
43655,43301,False
3938,27001,True
57450,51557,False
12790,15947,False
30033,34391,False
27031,12235,True
16762,29708,False
53883,28396,True
43581,3283,True
50275,6020,False
10744,27252,False
30917,14279,True
3879,58159,True
24306,146,True
16981,52297,False
18251,28364,False
10003,12665,False
3871,14000,False
21057,48125,True
3257,39075,False
56858,32256,True
34028,3685,True
12398,54864,False
4509,38225,False
7990,25888,True
39730,37139,False
39821,5419,False
42282,39039,False
16700,13641,False
15308,17859,True
8436,44893,False
21239,29329,False
30678,574,True
35992,4752,True
17836,32434,True
58738,22349,True
56658,16382,True
18234,10491,False
53716,36375,False
53820,39310,True
42946,54466,False
6910,42651,True
7703,16935,True
37039,47769,False
18913,17425,False
22991,46113,False
44192,42362,False
32409,32746,False
56403,58339,True
5963,42365,True
18578,53433,True
22375,224,True
17600,40977,True
47681,29584,True
668,36003,True
58883,4885,False
34987,2397,True
36980,37378,False
8493,27553,True
24441,19731,False
23974,57927,True
16746,43859,True
22664,52033,False
50011,39909,True
15854,59654,True
54067,51522,False
27638,56791,True
11554,49124,False
27600,50374,True
10587,17088,False
58137,24516,True
31497,55353,True
12836,54432,False
20502,22399,True
1605,14332,True
25553,22027,False
55728,4609,True
22493,42862,False
43705,56244,True
1746,7691,False
11516,38839,False
2471,7227,False
22135,48605,True
40497,27960,True
59967,24692,False
16333,2951,True
34823,104,False
28890,23353,False
42715,22152,False
56536,42651,True
46244,20161,False
42886,27381,True
25809,46623,True
8481,35557,False
26949,44427,False
49930,43544,True
39566,38080,False
36693,26041,True
19272,19437,True
27558,52421,True
29857,29579,False
43442,14276,False
53082,51106,False
42380,5629,True
33054,44347,False
54572,6032,False
20846,43261,True
13303,51950,False
3066,1547,False
40843,30499,True
27796,29232,False
46156,46571,False
26790,31739,False
43835,9520,False
50105,57517,False
28498,50128,True
11342,53631,True
37323,3263,True
56556,59112,True
29293,8883,False
42928,35583,False
48634,59439,False
39381,54345,True
53514,36689,False
57817,10584,True
17406,28865,True
54099,42608,False
49334,51869,False
40302,16033,False
28191,5133,False
15068,18250,True
59548,20445,True
10025,8936,True
46411,24550,True
14295,45403,False
26579,27331,False
34807,31173,False
4042,13833,False
51356,24960,True
55224,58724,False
30622,402,False
19106,50271,False
55000,59451,True
49883,34525,True
31349,14660,True
32541,27926,True
24921,22557,True
46520,10978,True
8507,59243,True
26418,58439,False
5446,42945,False
8735,57784,False
11705,3330,True
21962,24314,False
29173,21933,False
49035,58647,False
17790,50171,True
55632,16177,False
1327,30197,False
14996,22417,True
43556,50313,True
2072,48572,True
55940,12825,True
10128,39949,True
31681,8135,True
36186,14564,False
44964,17198,False
40475,10831,False
54628,50079,True
7206,19905,False
59851,20950,False
47747,25440,False
39577,4929,True
6564,46622,False
45748,54776,True
37880,51260,True
22235,35684,True
24842,42544,True
32441,43266,False
803,56639,False
32841,52974,False
27779,24268,False
45466,10177,False
11359,48945,True
39593,53893,False
29850,29171,False
56790,20619,True
53525,5759,False
30169,56807,True
48290,31096,False
21531,1926,False
21814,54839,True
31309,14170,False
51376,17345,True
17879,58697,False
696,35647,True
5544,16168,False
37184,31374,False
44407,31880,False
52884,28738,False
19762,6010,True
46270,25933,True
19597,44355,False
30385,37053,False
27262,49772,True
22530,46994,False
17341,20599,True
8034,14829,True
7969,20194,True
12344,14453,True
17685,48373,True
55504,6472,True
18959,15237,False
20300,11557,True
35769,45512,True
3026,17544,False
19612,35504,True
41021,57898,False
58178,6600,False
36847,19095,False
30731,29498,False
11884,3403,False
32007,55544,True
52964,4344,False
4906,31573,True
9793,9925,True
16648,5520,False
35806,51008,True
39839,38950,True
49933,35018,True
28900,29631,True
55450,39341,False
38052,19536,False
49353,39166,True
13881,49132,False
44132,16944,False
16066,10145,False
4986,35401,True
172,27386,False
44329,39679,True
2185,18663,False
18440,47238,False
45179,57319,False
45957,4602,False
17779,59525,True
7649,27238,True
41669,9918,True
9473,53258,True
3870,11028,True
38225,49979,True
28138,8293,False
44280,20433,True
17421,33541,False
5321,28048,True
57305,28937,True
16797,38775,True
15334,5898,True
49265,44937,True
2670,36992,False
30206,34767,True
18655,59021,True
37582,29190,False
5892,31458,False
26177,22362,False
6972,43090,True
21102,27596,True
18446,44276,False
50729,52386,True
29182,5849,True
21711,16189,False
27108,49740,True
42296,57954,False
3597,26484,False
33249,24240,False
29594,40210,False
17950,13109,False
59778,19351,True
56757,46687,True
1932,7821,False
45616,10534,True
35345,926,True
15032,6018,False
7830,29615,True
31966,47847,True
32643,47136,True
26617,55625,True
30306,16332,True
